query_name,query_md5,match_name,containment,intersect_hashes,ksize,scaled,moltype,match_md5,jaccard,max_containment,average_abund,median_abund,std_abund,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_weighted_found,total_weighted_hashes
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR8037332,0.0001,1,21,1000,DNA,787e79dd6f9a529f07d0ecbaca34b0a7,0.000021728266301631794,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6067634775090103,0.6258550773063863,0.6449466771037624,1,384606
qsize=5000,6424f418433b237c8a9c44a818715253,ERR10893980,0.0002,1,21,1000,DNA,6e8d56bea72d8b773bfbb521787cc3bb,0.000015893702914905113,0.0002,1.0,1.0,0.0,0.666589657745114,0.593197070202841,0.6298933639739774,0.666589657745114,1,361708
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,ERR13199417,0.0001,1,21,1000,DNA,b607006797c4421cc74e9903a0425703,0.000026935301406022735,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6150148894428255,0.629980783273294,0.6449466771037624,1,713016
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,ERR4782327,0.0001,1,21,1000,DNA,ee1207edad666b2afd2aa86c1475c1b1,0.000032451728054518906,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6228192602014375,0.6338829686526,0.6449466771037624,1,315903
qsize=5000,6424f418433b237c8a9c44a818715253,SRR26593884,0.0002,1,21,1000,DNA,89100488e9f028a1719dd06c6bb2539f,0.00002040150155051412,0.0002,1.0,1.0,0.0,0.666589657745114,0.6010010311871822,0.6337953444661482,0.666589657745114,1,400791
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR26593884,0.0001,1,21,1000,DNA,89100488e9f028a1719dd06c6bb2539f,0.00001851303317535545,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6010010311871822,0.6229738541454723,0.6449466771037624,1,400791
qsize=5000,6424f418433b237c8a9c44a818715253,SRR7912276,0.0002,1,21,1000,DNA,9ba09b40439765d11a18e73f86ae3d52,0.000027035795393100465,0.0002,1.0,1.0,0.0,0.666589657745114,0.6102055577270445,0.6383976077360793,0.666589657745114,1,331249
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR7912276,0.0001,1,21,1000,DNA,9ba09b40439765d11a18e73f86ae3d52,0.000023816328474802324,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6102055577270445,0.6275761174154035,0.6449466771037624,1,331249
qsize=5000,6424f418433b237c8a9c44a818715253,ERR957622,0.0002,1,21,1000,DNA,6ca97e47bb28ed1684bade722d76e57b,0.000015294027682190104,0.0002,1.0,1.0,0.0,0.666589657745114,0.5920199861751693,0.6293048219601416,0.666589657745114,1,551157
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR31358392,0.0001,1,21,1000,DNA,18eda22dc0f86322bdfe1a976b7df1bf,0.00001705233361185478,0.0001,97.0,97.0,0.0,0.6449466771037624,0.5981472763606193,0.6215469767321908,0.6449466771037624,97,616777
qsize=1000,06e3ed33658503f35a60705dda70ec6b,SRR10099336,0.001,1,21,1000,DNA,53c0ed0347567086f1028cefc3ea65f5,0.00003333111125924938,0.001,1.0,1.0,0.0,0.719685673001152,0.613059628886604,0.6663726509438781,0.719685673001152,1,229605
qsize=5000,6424f418433b237c8a9c44a818715253,SRR10099336,0.0002,1,21,1000,DNA,53c0ed0347567086f1028cefc3ea65f5,0.00002941003470384095,0.0002,1.0,1.0,0.0,0.666589657745114,0.613059628886604,0.639824643315859,0.666589657745114,1,229605
qsize=5000,6424f418433b237c8a9c44a818715253,SRR8699551,0.0002,1,21,1000,DNA,dea9f2cf763769596fe2291a16e488b3,0.000011271161605915105,0.0002,1.0,1.0,0.0,0.666589657745114,0.5828795517518558,0.624734604748485,0.666589657745114,1,530536
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR22484421,0.0001,1,21,1000,DNA,0910ae32ccf76aea8a692a966d47fa0d,0.00003046551303923958,0.0001,1.0,1.0,0.0,0.6449466771037624,0.6200927150692869,0.6325196960865247,0.6449466771037624,1,481834
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR545661,0.0002,2,21,1000,DNA,548cb82ce1f82d7523be581e40b6492f,0.00001657893646122601,0.0002,1.0,1.0,0.0,0.666589657745114,0.5944961258382583,0.6305428917916862,0.666589657745114,2,384849
qsize=5000,6424f418433b237c8a9c44a818715253,SRR13128519,0.0002,1,21,1000,DNA,11f05f6c5d5e959cefa66569fe7a3436,0.000023308393352446214,0.0002,1.0,1.0,0.0,0.666589657745114,0.6052954075595072,0.6359425326523106,0.666589657745114,1,459847
qsize=10000,65baffe3161e376e238e0d0a44d7b27b,SRR2101330,0.0001,1,21,1000,DNA,e962acb7cca5f726872f1e66437333bc,0.000011040939804796184,0.0001,1.0,1.0,0.0,0.6449466771037624,0.5839449768455541,0.6144458269746582,0.6449466771037624,1,256639
